sample_accession	run_accession	sample_alias
SAMN02689150	SRR1192465	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192466	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192467	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192468	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192469	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192470	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689150	SRR1192471	VMERS_Mock-MRC5-Gleevec-48hrs
SAMN02689151	SRR1192496	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192497	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192498	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192499	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192500	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192501	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192502	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689151	SRR1192503	VMERS_Mock-MRC5-IFNbeta-24hrs
SAMN02689152	SRR1192640	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192641	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192642	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192643	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192644	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192645	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192646	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689152	SRR1192647	VMERS_Mock-MRC5-IFNbeta-48hrs
SAMN02689153	SRR1192836	VMERS_SARS-MRC5-Gleevec-24hrs
SAMN02689153	SRR1192837	VMERS_SARS-MRC5-Gleevec-24hrs
SAMN02689153	SRR1192838	VMERS_SARS-MRC5-Gleevec-24hrs
SAMN02689153	SRR1192839	VMERS_SARS-MRC5-Gleevec-24hrs
SAMN02689154	SRR1192963	VMERS_SARS-MRC5-Gleevec-48hrs
SAMN02689154	SRR1192964	VMERS_SARS-MRC5-Gleevec-48hrs
SAMN02689154	SRR1192965	VMERS_SARS-MRC5-Gleevec-48hrs
SAMN02689154	SRR1192966	VMERS_SARS-MRC5-Gleevec-48hrs
SAMN02689155	SRR1193005	VMERS_SARS-MRC5-IFNbeta-24hrs
SAMN02689155	SRR1193006	VMERS_SARS-MRC5-IFNbeta-24hrs
SAMN02689155	SRR1193007	VMERS_SARS-MRC5-IFNbeta-24hrs
SAMN02689155	SRR1193008	VMERS_SARS-MRC5-IFNbeta-24hrs
SAMN02689156	SRR1193009	VMERS_SARS-MRC5-IFNbeta-48hrs
SAMN02689156	SRR1193010	VMERS_SARS-MRC5-IFNbeta-48hrs
SAMN02689156	SRR1193011	VMERS_SARS-MRC5-IFNbeta-48hrs
SAMN02689156	SRR1193012	VMERS_SARS-MRC5-IFNbeta-48hrs
SAMN02689157	SRR1193013	VMERS_SARS-MRC5HighMOI-24hr-1
SAMN02689157	SRR1193014	VMERS_SARS-MRC5HighMOI-24hr-1
SAMN02689157	SRR1193015	VMERS_SARS-MRC5HighMOI-24hr-1
SAMN02689158	SRR1193016	VMERS_SARS-MRC5HighMOI-24hr-2
SAMN02689158	SRR1193017	VMERS_SARS-MRC5HighMOI-24hr-2
SAMN02689158	SRR1193018	VMERS_SARS-MRC5HighMOI-24hr-2
SAMN02689161	SRR1193100	VMERS_SARS-MRC5HighMOI-24hr-3
SAMN02689161	SRR1193101	VMERS_SARS-MRC5HighMOI-24hr-3
SAMN02689161	SRR1193102	VMERS_SARS-MRC5HighMOI-24hr-3
SAMN02689162	SRR1193103	VMERS_SARS-MRC5HighMOI-48hr-2
SAMN02689162	SRR1193104	VMERS_SARS-MRC5HighMOI-48hr-2
SAMN02689163	SRR1193105	VMERS_SARS-MRC5HighMOI-48hr-3
SAMN02689163	SRR1193106	VMERS_SARS-MRC5HighMOI-48hr-3
SAMN02689191	SRR1193197	VMERS_SARS-MRC5lowMOI-24hr-1
SAMN02689191	SRR1193198	VMERS_SARS-MRC5lowMOI-24hr-1
SAMN02689191	SRR1193199	VMERS_SARS-MRC5lowMOI-24hr-1
SAMN02689265	SRR1193403	VMERS_SARS-MRC5lowMOI-24hr-2
SAMN02689265	SRR1193404	VMERS_SARS-MRC5lowMOI-24hr-2
SAMN02689265	SRR1193405	VMERS_SARS-MRC5lowMOI-24hr-2
SAMN02689319	SRR1193522	VMERS_SARS-MRC5lowMOI-24hr-3
SAMN02689319	SRR1193523	VMERS_SARS-MRC5lowMOI-24hr-3
SAMN02689319	SRR1193524	VMERS_SARS-MRC5lowMOI-24hr-3
SAMN02689416	SRR1193638	VMERS_SARS-MRC5lowMOI-48hr-3
SAMN02689416	SRR1193639	VMERS_SARS-MRC5lowMOI-48hr-3
SAMN02689489	SRR1195619	VMERS_SARS-MRC5lowMOI-48hr-2
SAMN02689489	SRR1195620	VMERS_SARS-MRC5lowMOI-48hr-2
SAMN02689489	SRR1195621	VMERS_SARS-MRC5lowMOI-48hr-2
