Name_GeneSymbol	Value_LogDiffExp
FZD7	0.2314
MRPL12	0.2917
ATP2C1	0.2103
STX4	0.2378
SNX7	0.3427
INSIG1	0.1801
CCNA2	0.1728
P4HA2	0.2544
PTPN6	0.2971
DNAJB2	0.2879
NPEPL1	0.3965
MYBL2	0.1727
NUP133	0.1721
IER3	0.2539
GSTZ1	0.1906
TBPL1	0.3651
LSM6	0.6452
GRN	0.221
RPS5	0.199
CCNA1	0.2641
KDM5B	0.1957
UBE2C	0.1835
GNA11	0.265
CXCR4	0.2618
CDK19	0.3333
SFN	0.2095
ADAT1	0.1621
LYN	0.8773
ABHD6	1.1103
PCNA	0.1628
PIK3CA	0.1653
EIF4G1	0.1912
E2F2	0.1801
CAMSAP2	0.153
USP1	0.1674
CDC20	0.1724
H2AFV	0.2626
BAD	0.219
MSH6	0.2704
ETV1	0.2021
ZNF131	0.1707
CLTB	0.1438
RFNG	0.2113
UGDH	0.1467
TOPBP1	0.1867
ECH1	0.1984
DHDDS	0.1714
TBC1D31	0.1667
AARS	0.1634
HDAC2	0.1367
FOXJ3	0.1497
ASAH1	0.181
SNCA	0.1756
RAP1GAP	0.1736
TMEM110	0.1473
RAD9A	0.2164
SCARB1	0.1319
BLMH	0.1605
EPB41L2	0.1447
CDC42	0.1468
GPATCH8	0.1514
HOOK2	0.1565
KIT	0.1838
ALDOA	0.1754
PPIE	0.141
ABCC5	0.2115
ZMYM2	0.2364
TMEM109	0.1332
TJP1	0.1917
TNIP1	0.1735
BLVRA	0.215
EPN2	0.2052
S100A13	0.1089
PAX8	0.1082
STAT5B	0.1664
TSEN2	0.1056
NFKBIE	0.4998
APOE	0.1106
NOL3	0.1621
BCL2	0.2561
HACD3	0.1124
FPGS	0.1633
IKBKE	0.1685
CREG1	0.1352
PAK6	0.1289
RFX5	0.0966
CNPY3	0.1239
LSR	0.1711
FZD1	0.1222
HMGCR	0.1112
NFATC3	0.1112
RB1	0.081
EPHA3	0.0883
PHKG2	0.0862
RRP1B	0.0876
MSRA	0.0793
PLA2G15	0.0862
HEATR1	0.0866
TMEM5	0.1707
BLCAP	0.0775
ZDHHC6	0.0747
ADGRE5	0.0695
CBLB	0.0592
LIPA	0.066
ZNF451	0.1137
GTF2E2	0.0597
HSPA4	0.0567
PKIG	0.0748
RRP8	0.1244
PRKX	0.0633
LRPAP1	0.0846
POLR2I	0.0802
ALDH7A1	0.0566
PHKA1	0.0511
RAB31	0.0617
CASP10	0.0954
UBE2A	0.1132
TXNRD1	0.0565
CEP57	0.0768
FAM20B	0.0752
UBR7	0.0501
EED	0.0595
PYCR1	0.0474
VAT1	0.0417
KIAA0753	0.0675
SYPL1	0.0826
TERT	0.0475
RAB4A	0.0426
CEBPD	0.0421
COG2	0.0443
TESK1	0.0353
SORBS3	0.031
MACF1	0.0344
YME1L1	0.038
PTPRF	0.0249
TNFRSF21	0.0278
ZMIZ1	0.0374
COL4A1	0.0213
MAPK9	0.0246
LAGE3	0.022
IFNAR1	0.0202
RNMT	0.0219
GNAS	0.0271
NARFL	0.0236
PRR7	0.0204
ICAM1	0.0165
CDK1	0.0151
FOSL1	0.007
NNT	0.0041
ERO1L	0.004
FGFR2	0.0037
BRCA1	0.002
INTS3	1e-4
