perturbagen,threshold,min_m,min_c,min_n1,min_a2,min_a3,min_ap,min_a4,min_c5
AZD-1775,1,-0.12353504538010895,-0.19889574441909363,-0.546675848104674,-0.661401741547117,-0.2662706690009168,-0.20897365460537107,-0.1028069807037469,-0.2837278908097592
AZD-5438,0,-0.07923244375763257,-0.10214460676455969,-0.04374466128587912,-0.11464296046766893,-0.14514762169348944,-0.14620536805987489,-0.18101667424382598,-0.1685807878828085
AZD-5438,0.26,-0.07654956783056736,-0.1341352918114317,-0.09233987251310831,-0.19997956394038213,-0.1697612310794939,-0.16487709667129816,-0.21706438990446358,-0.1940866561796061
AZD-5438,0.5,-0.07604964598542166,-0.17326033780083214,-0.26718768795843173,-0.496744867744451,-0.19239209841588065,-0.18924426995381963,-0.24267014979658344,-0.21102153810043497
AZD-5438,0.85,-0.09444228030838502,-0.14033206373009538,-0.49314174658800763,-0.537013863012171,-0.21965428655816252,-0.21402868346627557,-0.308218289188384,-0.21671930801024242
AZD-5438,1,-0.10322839711390268,-0.12773060491340857,-0.5514662008574986,-0.5828200777495812,-0.2189959893678154,-0.19115235193258853,-0.3193912906580612,-0.19304224252230487
BRD-K54343811,0,-0.06847834124186793,-0.07909946820932372,-0.10510206583572188,-0.05877128098780337,-0.06814523127869733,-0.07295941613161225,-0.06594374286701046,-0.06739910487604323
BRD-K54343811,0.26,-0.07094153987512916,-0.09591514233486316,-0.2073159738654886,-0.14986652305886394,-0.08320262751312264,-0.08502620705443656,-0.08912211560847862,-0.07065778270538711
BRD-K54343811,0.5,-0.07948411452532199,-0.1250645125005541,-0.4028393491163662,-0.3208948497099345,-0.11425639235036127,-0.11548351964864266,-0.10863115415867776,-0.10279873272529566
BRD-K54343811,0.85,-0.09274118531651789,-0.15500026776445425,-0.4694285257281179,-0.4973687485702772,-0.1473786092108564,-0.15001006238808556,-0.1778497422533071,-0.13500824383743568
BRD-K54343811,1,-0.08948198185862678,-0.17259284533452748,-0.44813089256275973,-0.536114197979714,-0.14642580618929646,-0.15852032610309336,-0.2137724471912492,-0.14778750666707752
Broad-Sai-045,0,-0.13816214908332758,-0.08269940432895902,-0.1262210268931761,-0.1296657288757108,-0.05919734122052854,-0.07045882506933403,-0.04482345252964835,-0.08726871947559407
Broad-Sai-045,0.26,-0.13431232312665858,-0.09878270251632075,-0.26257176896927253,-0.2954107573278085,-0.08008919305840315,-0.08418929832536208,-0.0545138585126295,-0.09533983268459816
Broad-Sai-045,0.5,-0.14808912129179416,-0.12132007278428739,-0.34617172689698056,-0.5888819391779244,-0.09902066950821284,-0.11360360235824118,-0.08432970691265798,-0.13608785589401295
Broad-Sai-045,0.85,-0.14085814576139133,-0.1362216033525233,-0.4689380853702892,-0.647403544371749,-0.11533663366669052,-0.1360128660486141,-0.18050209454064522,-0.16261557058190354
Broad-Sai-045,1,-0.14061873501107547,-0.14253596761626156,-0.455318742083856,-0.6508272200476624,-0.1488038116946958,-0.1312716935247377,-0.22301148144674146,-0.14431525736729003
Broad-Sai-595,0,-0.06228637920938226,-0.12160293606380257,-0.06634907783960942,-0.08114054133747318,-0.10750103417528155,-0.11482380726458856,-0.05457491849270148,-0.13179409947706688
Broad-Sai-595,0.26,-0.07849849531484827,-0.1322546842823246,-0.1433377380227834,-0.24086787215619612,-0.1314791222111143,-0.13142621476390162,-0.06873014847429394,-0.1578075094394904
Broad-Sai-595,0.5,-0.08852780486993574,-0.1528484889145682,-0.22457083962846983,-0.42335947747489727,-0.1645503765496694,-0.15301276443208234,-0.08104784726006503,-0.18912710814367173
Broad-Sai-595,0.85,-0.0950091322711298,-0.14832634767182742,-0.3620974251575784,-0.5795057834022146,-0.25343643377428887,-0.19995091109639904,-0.1388484478790921,-0.2215241118423671
Broad-Sai-595,1,-0.09176925239105953,-0.16171596402017116,-0.36461364257970674,-0.5640141673225946,-0.23971370076064616,-0.22872125469109175,-0.17215087861069361,-0.21666322798064178
BS-181,0,-0.05295677272332136,-0.10520736082992105,-0.07677114399175658,-0.04565301012460985,-0.17014755400262063,-0.15323930039838618,-0.04768922196605487,-0.17268691370060274
BS-181,0.26,-0.06801296851102219,-0.13167976345760973,-0.1477361721373233,-0.15285819936057135,-0.21631048927611873,-0.18139564162454488,-0.04610039127764137,-0.20367955263701182
BS-181,0.5,-0.054697782348921975,-0.14961182570741077,-0.38043860277388947,-0.2104341353687373,-0.26952768989755993,-0.22908605503461066,-0.04956799040434509,-0.23020963485655505
BS-181,0.85,-0.05810735618776807,-0.11994088375558272,-0.4821156032766642,-0.4360651437000623,-0.3017517776090816,-0.26653458764784793,-0.029517959954593588,-0.29281077183533794
BS-181,1,-0.05716818550345486,-0.151723050896063,-0.4905008325527108,-0.5728242701908849,-0.30330946882342646,-0.28399498958691155,-0.058776549853030956,-0.3186958803514746
C30H33N3O5S,0,-0.0757809059524422,-0.07285773803598329,-0.0620056409737758,-0.04311712636970924,-0.032308494027648085,-0.034452164707299476,-0.013311208761469535,-0.026606097719524987
C30H33N3O5S,0.26,-0.08614866969494567,-0.08584310659373032,-0.14016653809463644,-0.1593598596895691,-0.03522527852665088,-0.03702145241697768,-0.014410802321570363,-0.026757818524021815
C30H33N3O5S,0.5,-0.0841577279126907,-0.09738720070974727,-0.270773401745026,-0.22653605671139462,-0.04232180886514717,-0.029837485958742565,-0.015491312371794545,-0.032948602463754056
C30H33N3O5S,0.85,-0.09273662913804766,-0.1418303277952522,-0.4196991542404972,-0.527626341173497,-0.04972538271607676,-0.05810024766313669,-0.0985868446258876,-0.09365636705190974
C30H33N3O5S,1,-0.09384718723365934,-0.14232019345593513,-0.3976700795031744,-0.5749517060511462,-0.05708341925389363,-0.03498033797020458,-0.11177445839452878,-0.051831903519584735
CHEMBL1083527,0,-0.06257437825887449,-0.05861381142258317,-0.09557754631672526,-0.09179865105294317,-0.08241552717094809,-0.0856390062208346,-0.05833064435049003,-0.1130598375504463
CHEMBL1083527,0.26,-0.07223569830854311,-0.06989143663822814,-0.16437971143449898,-0.1858311312008118,-0.09922443328444,-0.10225270009532293,-0.07052347341309714,-0.1338522569281255
CHEMBL1083527,0.5,-0.07331882349370912,-0.08572524580124814,-0.22823133622284275,-0.4413514353743117,-0.15093556605662697,-0.12754974831247642,-0.08938643651113944,-0.15757982300150875
CHEMBL1083527,0.85,-0.05885159381049747,-0.14997253096148616,-0.37391743265572686,-0.5384301928497558,-0.2099740144366447,-0.17771483642298797,-0.1496019155209004,-0.29650541194074376
CHEMBL1083527,1,-0.06914616358337822,-0.1771139806694413,-0.4628126619187786,-0.5532022275609779,-0.26162384697365476,-0.15175535798729858,-0.18364262402796142,-0.3192579919413016
CHEMBL2136735,0,-0.1346392026554798,-0.11056774993030807,-0.0861648303530517,-0.14202044990056228,-0.09537592180259602,-0.12541911973562728,-0.08660127843199199,-0.13084897694927605
CHEMBL2136735,0.26,-0.1489659437102518,-0.1270890378884169,-0.12833132655698046,-0.2671116539177566,-0.10773835894469626,-0.14175588395597521,-0.09665717884882355,-0.14777052502912544
CHEMBL2136735,0.5,-0.1602495696067124,-0.14511049304372559,-0.14228280636890717,-0.31931603341648035,-0.12680067421552788,-0.15814658085952688,-0.11448165397182825,-0.17323468609934195
CHEMBL2136735,0.85,-0.18120570615552165,-0.18356145740244936,-0.2372686577683014,-0.4250416199010412,-0.17162504461346367,-0.21105781558494713,-0.17392381398554096,-0.2204546579139558
CHEMBL2136735,1,-0.18226992200989503,-0.20127949212603488,-0.260780182178193,-0.465948213266244,-0.19208918701719072,-0.19919871459910973,-0.23076541365051145,-0.2436176131947878
CHEMBL2381524,0,-0.08270006474087986,-0.06768040681452832,-0.08019967948068332,-0.13059434055269817,-0.0899521364270536,-0.11918911083780358,-0.06980830049185037,-0.12078412295488818
CHEMBL2381524,0.26,-0.08189672350445085,-0.08748556461166476,-0.10779006777032217,-0.20304123700949012,-0.09947071462706442,-0.12796960494710366,-0.07937883384910903,-0.13585557596031544
CHEMBL2381524,0.5,-0.08826922029620528,-0.10076089646678185,-0.21328762639734242,-0.4612196021777568,-0.1314037900259897,-0.15176122596929137,-0.09896299711646217,-0.17364935101712295
CHEMBL2381524,0.85,-0.11148827130211124,-0.1862299765458008,-0.2831454730411341,-0.55654019249878,-0.1441877483444147,-0.12942966325244568,-0.1813965711913626,-0.2608829886633653
CHEMBL2381524,1,-0.11392958143045055,-0.1895839532344223,-0.2975329522832306,-0.5873526458524572,-0.16592167390181106,-0.15946077615745458,-0.24214268615671494,-0.2769825236484641
CHEMBL3182395,0,-0.11992924772014407,-0.0340427682058147,-0.07935813715928176,-0.08715774506534409,-0.13015282944624532,-0.10942813838031025,-0.06752129141708417,-0.14045848674566008
CHEMBL3182395,0.26,-0.11616199504505939,-0.04650157801685335,-0.16424667247553357,-0.09257042046783527,-0.15265858984051156,-0.12386852090170224,-0.07820968581888074,-0.15773048296023665
CHEMBL3182395,0.5,-0.12820418172608872,-0.06852867163138138,-0.28947418601246455,-0.21669061694092925,-0.18825409129197446,-0.14456742453668833,-0.10646906522825461,-0.1904741980609795
CHEMBL3182395,0.85,-0.13009137022592204,-0.05231593502701679,-0.4259056036264644,-0.2491904764679618,-0.23037479964107144,-0.18591318491296288,-0.12695964245151725,-0.22108651217429212
CHEMBL3182395,1,-0.1305804691606423,-0.04924744101159962,-0.43034628778865325,-0.28788328679546094,-0.24185201046491123,-0.19034983435035785,-0.14419066421891427,-0.2459063374460037
CHEMBL3183436,0,-0.08071927636759775,-0.10725298195766265,-0.05094351444112135,-0.16584183332102015,-0.08413689081963645,-0.08204689717879671,-0.05173684984841826,-0.16292775236388837
CHEMBL3183436,0.26,-0.0779297451895402,-0.15209703871825583,-0.11992287567451111,-0.28667752188252504,-0.11015044395003062,-0.09245130387812309,-0.06929499229980508,-0.19009358202196786
CHEMBL3183436,0.5,-0.08604585351660542,-0.18236453870157127,-0.16355306410398346,-0.4456727423951581,-0.13885020134361037,-0.11506123083732912,-0.09249095804189865,-0.23341596648398352
CHEMBL3183436,0.85,-0.10447278641494356,-0.23804827830119943,-0.4518104774228511,-0.5440612715340499,-0.18518676708829848,-0.16878740443305998,-0.13629891586899864,-0.2970345713098004
CHEMBL3183436,1,-0.10683408415607161,-0.2456879051164209,-0.45176795143665904,-0.590720797343687,-0.21251716530578124,-0.18362252861781636,-0.16316565537506247,-0.2803440300289644
CHEMBL585951,0,-0.10159456715304377,-0.09602528834276418,-0.03610459390385809,-0.10165837213199082,-0.19216265379153402,-0.18495381651488096,-0.16883538416798916,-0.136420167880794
CHEMBL585951,0.26,-0.1046106339654116,-0.13080654224344204,-0.10017005038397936,-0.1699102338796613,-0.23742119808264667,-0.2254337204580371,-0.19209592802438138,-0.16112586341926388
CHEMBL585951,0.5,-0.1075520123967754,-0.17499643897539974,-0.15478870925647964,-0.12980882131819163,-0.26754230579556093,-0.2585143400973103,-0.20455815609579084,-0.1824957529061419
CHEMBL585951,0.85,-0.10948549861689888,-0.12945155096605487,-0.5232082326030494,-0.2826929985355522,-0.2929632935578778,-0.27537753300427775,-0.2721054647840246,-0.24091372364899405
CHEMBL585951,1,-0.10519862974995099,-0.12512005843226104,-0.5356562205567601,-0.3764096754587737,-0.315821890148976,-0.2452108761417646,-0.2803028202337404,-0.23630603913749923
CI-1040,0,-0.08523082913339988,-0.0879824823153501,-0.09817911126462361,-0.13368291252313955,-0.13412889501996164,-0.1488950748748909,-0.07410273836829273,-0.15675243433804695
CI-1040,0.26,-0.08512353361423027,-0.11041626787322721,-0.15219096737179813,-0.18167876254753815,-0.1644139665567486,-0.17113470250232726,-0.08529074892108097,-0.18865188447091324
CI-1040,0.5,-0.09412703792696976,-0.16304969401268818,-0.2124242773024209,-0.3548291844335402,-0.1807192531665382,-0.19563591494376895,-0.10596618458498099,-0.22968208605881382
CI-1040,0.85,-0.09928483465139153,-0.16355099763934436,-0.3252563423356602,-0.6714512510705781,-0.24862930882602852,-0.22683953176308314,-0.1532352553797114,-0.3247263083853607
CI-1040,1,-0.091143931285733365,-0.18716518405986848,-0.42782227110201027,-0.6570427192790416,-0.25945792519359867,-0.2666552642259393,-0.17949501385025632,-0.28907019110037
COT-10B,0,-0.07518963719478841,-0.08392396197373447,-0.03547503770565452,-0.12069315398127917,-0.12970094033361995,-0.13080824054018986,-0.06287252838155778,-0.15643154632818237
COT-10B,0.26,-0.08510217985897854,-0.09416805026722261,-0.07912734664384297,-0.18345216684807114,-0.16860887624722115,-0.15516660002535332,-0.0799825806441133,-0.1818630012881056
COT-10B,0.5,-0.07843415841879614,-0.10202215963512042,-0.2402084716672253,-0.2786855031820023,-0.19290609051459934,-0.19203283603581983,-0.08657804728788684,-0.2222380381579929
COT-10B,0.85,-0.08405874479882336,-0.1630910596998187,-0.34246231826533335,-0.298614056718902,-0.21023350001851454,-0.1997500192792462,-0.12934790182973407,-0.27642982204545796
COT-10B,1,-0.08802433987407404,-0.1662525532758368,-0.4008539366925902,-0.391020918101501,-0.21030516653346837,-0.24076637923618988,-0.13051467607516765,-0.24281851926071754
CP-724714,0,-0.07581043273598886,-0.07946569226738782,-0.05252251477706536,-0.12702961433558538,-0.03612880503809031,-0.04939706052901786,-0.04437819329640724,-0.08279002150038825
CP-724714,0.26,-0.07999115730061464,-0.08851534710169275,-0.09127691086333795,-0.182754315821491,-0.0429905386746005,-0.057194390955062915,-0.053914084960960805,-0.09505822652774754
CP-724714,0.5,-0.08509926338707383,-0.11695954237971988,-0.23296635706547794,-0.25088520619853844,-0.05057794264658054,-0.05937658468268835,-0.06914969825265356,-0.09955473335079343
CP-724714,0.85,-0.09704173011733934,-0.17946729009588358,-0.45709530830868045,-0.4582814664948536,-0.05309301050217183,-0.04487360270071613,-0.16971952485323277,-0.11730501748528697
CP-724714,1,-0.11287656110509918,-0.17822812309234667,-0.45061743967331386,-0.7871450530816338,-0.09798645999648918,-0.016381282865294094,-0.20602645052885563,-0.09380941176269966
Crizotinib,0,-0.06970018006845331,-0.14741524233150194,-0.050024378196616,-0.09628350292136183,-0.09624910268501301,-0.08427258488920288,-0.03368306906705477,-0.1517432056089913
Crizotinib,0.26,-0.07359513023727846,-0.16999023416790401,-0.1123857974503035,-0.18150632056000102,-0.11507456441113914,-0.0979746636566896,-0.03610140489183764,-0.17486659777304644
Crizotinib,0.5,-0.08804656011869195,-0.21058510364464408,-0.2254838453457437,-0.3178888609274542,-0.15465400075037042,-0.12410285371006578,-0.06446584155560017,-0.20297226010353994
Crizotinib,0.85,-0.08816174627400082,-0.23007741522730676,-0.44787790095067653,-0.47266343435925345,-0.17917323718488326,-0.13740232627135113,-0.07128968062539778,-0.27794487445012
Crizotinib,1,-0.0933576558039778,-0.2320451673746465,-0.4272113572490722,-0.5025410990887526,-0.1906568288404981,-0.1299768056751802,-0.10322755268591811,-0.3137302711119465
Dasatinib,0,-0.08848483285833526,-0.09266033065742729,-0.17513438446181606,-0.1050354390987573,-0.17423884132904557,-0.15655409255592467,-0.12757381681053245,-0.18678135850759367
Dasatinib,0.26,-0.10216568240446752,-0.12679871171827725,-0.24611411900919933,-0.2355176623284143,-0.21273938627937955,-0.17777245216648108,-0.14646720979963745,-0.211287709549895
Dasatinib,0.5,-0.11286869102939359,-0.14962414368758503,-0.3846690863216497,-0.49047934897022355,-0.27414287595042786,-0.20377516864003747,-0.18225738926308221,-0.2477556227936742
Dasatinib,0.85,-0.11561625623643373,-0.15586821322468308,-0.5907444150612599,-0.5589659317048756,-0.3272514935241584,-0.24616972749235513,-0.2713892487053744,-0.3407817343640293
Dasatinib,1,-0.1179851190299913,-0.19002816357965863,-0.68360848604833,-0.5600051296656797,-0.3460796542848802,-0.24199074190740913,-0.28479069091743214,-0.3608982041920343
Dienestrol,0,-0.08054150583470275,-0.055544803189319966,-0.061090548915876286,-0.10974531151637874,-0.06610257435647271,-0.07356257918702547,-0.05397320615165455,-0.09177614258151111
Dienestrol,0.26,-0.0880642176383865,-0.07413241687016782,-0.12242088461762524,-0.1968128972992274,-0.07280885500449426,-0.08090791842517701,-0.06939368318559366,-0.1185743312049647
Dienestrol,0.5,-0.08052038270621346,-0.10206781327914993,-0.21106769141571047,-0.17751513733188953,-0.07328727219521027,-0.09427981832527736,-0.08953718838596288,-0.1498935150025932
Dienestrol,0.85,-0.08690160008085224,-0.12529134764896507,-0.36140375121537355,-0.5019160202264495,-0.11060191820741423,-0.10443612206156073,-0.18485969512732955,-0.189564254015
Dienestrol,1,-0.08935064709800103,-0.12472240232377643,-0.4325454306344345,-0.5745384546689718,-0.1468744947329447,-0.12109689566871194,-0.2752626997032444,-0.21658488194272535
Doxorubicin,0,-0.05844494625784283,-0.13917554778554664,-0.0855650223612722,-0.13601604163161168,-0.11624514741985625,-0.10164569873240832,-0.23387072174061613,-0.19459441387029114
Doxorubicin,0.26,-0.05646856813891111,-0.1828807729617745,-0.17835266573349676,-0.23803658002790823,-0.13810811273320772,-0.12923474861064854,-0.27163572356431925,-0.2263059384208273
