perturbagen,threshold,m_ratio,c_ratio,n1_ratio,a2_ratio,a3_ratio,ap_ratio,a4_ratio,c5_ratio
CHEMBL1083527,0.5,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8,2,2.6,2.6,2.6
CHEMBL1083527,0.85,0.6363636363636364,0.6363636363636364,0.5,1.25,1.25,1.5714285714285714,1.5714285714285714,2
CHEMBL1083527,1,0.6363636363636364,0.6363636363636364,0.8,1,1.25,1.5714285714285714,1.5714285714285714,1.5714285714285714
CHEMBL2136735,0,1.0909090909090908,0.4375,0.09523809523809523,3.6,1.875,2.2857142857142856,0.35294117647058826,1.0909090909090908
CHEMBL2136735,0.26,0.6428571428571429,0.2777777777777778,0.21052631578947367,1.0909090909090908,1.5555555555555556,2.2857142857142856,0.35294117647058826,1.0909090909090908
CHEMBL2136735,0.5,0.6428571428571429,0.2777777777777778,0.7692307692307693,0.9166666666666666,1.3,2.2857142857142856,0.2777777777777778,1.0909090909090908
CHEMBL2136735,0.85,0.35294117647058826,0.35294117647058826,1.5555555555555556,0.6428571428571429,1.5555555555555556,1.5555555555555556,0.09523809523809523,0.9166666666666666
CHEMBL2136735,1,0.4375,0.35294117647058826,0.7692307692307693,1.3,1.5555555555555556,1.875,0.045454545454545456,1.0909090909090908
CHEMBL2381524,0,0.4375,0.7692307692307693,0.5333333333333333,0.9166666666666666,1.5555555555555556,1.5555555555555556,1.875,1.5555555555555556
CHEMBL2381524,0.26,0.5333333333333333,0.7692307692307693,0.2777777777777778,0.7692307692307693,1.875,1.875,1.875,1.5555555555555556
CHEMBL2381524,0.5,0.4375,0.6428571428571429,0.5333333333333333,0.6428571428571429,1.5555555555555556,1.875,1.5555555555555556,1.5555555555555556
CHEMBL2381524,0.85,0.35294117647058826,1.3,0.7692307692307693,0.6428571428571429,1.875,1.0909090909090908,1.3,1.875
CHEMBL2381524,1,0.35294117647058826,1.875,1.0909090909090908,0.7692307692307693,1.5555555555555556,1.875,1.3,1.875
CHEMBL3182395,0,1.5,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,1.5,0.6666666666666666,0.42857142857142855
CHEMBL3182395,0.26,1,1,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.5,0.6666666666666666,0.42857142857142855
CHEMBL3182395,0.5,1.5,1,0.1111111111111111,2.3333333333333335,0.6666666666666666,1.5,0.6666666666666666,0.42857142857142855
CHEMBL3182395,0.85,1,1,0.6666666666666666,1.5,1,2.3333333333333335,1.5,0.6666666666666666
CHEMBL3182395,1,1,1.5,0.25,2.3333333333333335,1.5,1,0.6666666666666666,0.42857142857142855
CHEMBL3183436,0,1.1666666666666667,0.3,1.3636363636363635,0.625,4.2,5.5,1.3636363636363635,5.5
CHEMBL3183436,0.26,1.1666666666666667,0.3,1,0.625,4.2,5.5,1.6,5.5
CHEMBL3183436,0.5,1.3636363636363635,0.23809523809523808,1.3636363636363635,0.4444444444444444,7.666666666666667,5.5,1.8888888888888888,5.5
CHEMBL3183436,0.85,1.3636363636363635,0.3684210526315789,1,0.625,3.3333333333333335,7.666666666666667,1.6,5.5
CHEMBL3183436,1,1.6,0.3684210526315789,1.3636363636363635,0.5294117647058824,3.3333333333333335,5.5,1.6,4.2
CHEMBL585951,0,0.5294117647058824,0.8571428571428571,1.6,0.3,2.7142857142857144,1.6,0.3684210526315789,1
CHEMBL585951,0.26,0.5294117647058824,0.8571428571428571,1,0.625,2.7142857142857144,1.6,0.3684210526315789,1
CHEMBL585951,0.5,0.5294117647058824,0.7333333333333333,0.7333333333333333,1.8888888888888888,2.7142857142857144,1.6,0.3684210526315789,1
CHEMBL585951,0.85,0.5294117647058824,0.8571428571428571,0.3,0.625,3.3333333333333335,1.8888888888888888,0.3,1.3636363636363635
CHEMBL585951,1,0.5294117647058824,1.1666666666666667,0.5294117647058824,0.625,3.3333333333333335,2.25,0.23809523809523808,1.1666666666666667
CI-1040,0,0.5652173913043478,1.5714285714285714,1.1176470588235294,0.7142857142857143,1.25,0.8,0.44,1.5714285714285714
CI-1040,0.26,0.6363636363636364,1.5714285714285714,1,0.8947368421052632,1.25,0.8947368421052632,0.44,1.7692307692307692
CI-1040,0.5,0.6363636363636364,1.5714285714285714,0.8,0.5652173913043478,1.25,0.8947368421052632,0.5652173913043478,1.4
CI-1040,0.85,0.38461538461538464,1.1176470588235294,1.25,0.8,1.5714285714285714,1.4,0.5652173913043478,1.25
CI-1040,1,0.5652173913043478,1.5714285714285714,1,1,1.7692307692307692,1.4,0.6363636363636364,1.25
COT-10B,0,0.7,0.0625,2.4,0.13333333333333333,1.4285714285714286,1.4285714285714286,0.8888888888888888,1.4285714285714286
COT-10B,0.26,0.5454545454545454,0.21428571428571427,2.4,0.4166666666666667,1.4285714285714286,1.4285714285714286,0.8888888888888888,1.8333333333333333
COT-10B,0.5,0.7,0.21428571428571427,1.4285714285714286,0.8888888888888888,1.125,1.4285714285714286,1.125,1.8333333333333333
COT-10B,0.85,0.7,0.5454545454545454,1.125,0.8888888888888888,1.125,1.4285714285714286,0.8888888888888888,1.4285714285714286
COT-10B,1,0.8888888888888888,0.4166666666666667,1.4285714285714286,1.125,1.125,1.4285714285714286,0.8888888888888888,1.4285714285714286
CP-724714,0,0.9285714285714286,0.8,1.0769230769230769,1.25,8,5.75,1.4545454545454546,8
CP-724714,0.26,0.9285714285714286,0.5882352941176471,0.9285714285714286,1.25,8,8,1.4545454545454546,12.5
CP-724714,0.5,0.8,0.42105263157894735,1.25,1.0769230769230769,5.75,5.75,1.4545454545454546,8
CP-724714,0.85,0.8,0.2857142857142857,1.7,0.9285714285714286,26,8,1.4545454545454546,5.75
CP-724714,1,0.8,0.35,2,0.8,5.75,5.75,1.0769230769230769,5.75
Crizotinib,0,1.3125,0.32142857142857145,1.4666666666666666,0.9473684210526315,1.8461538461538463,1.8461538461538463,4.285714285714286,2.7
Crizotinib,0.26,1.1764705882352942,0.37037037037037035,1.8461538461538463,0.7619047619047619,2.0833333333333335,1.8461538461538463,4.285714285714286,2.7
Crizotinib,0.5,1.3125,0.37037037037037035,2.3636363636363638,1.1764705882352942,1.8461538461538463,2.0833333333333335,8.25,2.7
Crizotinib,0.85,1.3125,0.32142857142857145,0.7619047619047619,0.6086956521739131,1.8461538461538463,1.8461538461538463,5.166666666666667,2.3636363636363638
Crizotinib,1,1.6428571428571428,0.32142857142857145,0.5416666666666666,0.5416666666666666,1.6428571428571428,2.3636363636363638,5.166666666666667,2.7
Dasatinib,0,0.29850746268656714,0.359375,0.24285714285714285,0.8125,0.4032258064516129,0.359375,1.2307692307692308,0.45
Dasatinib,0.26,0.24285714285714285,0.4745762711864407,0.2608695652173913,0.851063829787234,0.4262295081967213,0.359375,1.2307692307692308,0.45
Dasatinib,0.5,0.27941176470588236,0.4262295081967213,0.2608695652173913,1.2894736842105263,0.4262295081967213,0.3384615384615385,1.2894736842105263,0.4262295081967213
Dasatinib,0.85,0.20833333333333334,0.6415094339622641,0.5535714285714286,1.2307692307692308,0.4032258064516129,0.4262295081967213,1.175,0.359375
Dasatinib,1,0.1917808219178082,0.5,0.29850746268656714,1.3513513513513513,0.4745762711864407,0.5263157894736842,1.2307692307692308,0.3384615384615385
Dienestrol,0,0.7,0.4166666666666667,0.8888888888888888,1.125,1.8333333333333333,2.4,1.125,1.125
Dienestrol,0.26,0.5454545454545454,0.3076923076923077,0.5454545454545454,1.125,2.4,2.4,1.125,1.125
Dienestrol,0.5,0.8888888888888888,0.21428571428571427,0.7,3.25,2.4,2.4,1.125,1.125
Dienestrol,0.85,0.7,0.3076923076923077,0.5454545454545454,4.666666666666667,1.4285714285714286,1.4285714285714286,0.7,1.125
Dienestrol,1,0.5454545454545454,0.3076923076923077,0.5454545454545454,3.25,1.125,1.8333333333333333,0.5454545454545454,0.8888888888888888
Doxorubicin,0,4.846153846153846,0.1875,0.6521739130434783,0.26666666666666666,4.428571428571429,3.2222222222222223,0.38181818181818183,2.1666666666666665
Doxorubicin,0.26,3.75,0.08571428571428572,0.6888888888888889,0.2459016393442623,4.428571428571429,3.2222222222222223,0.4339622641509434,2.3043478260869565
Doxorubicin,0.5,3,0.05555555555555555,0.7272727272727273,1.5333333333333334,3.75,3.2222222222222223,0.46153846153846156,2.1666666666666665
Doxorubicin,0.85,2.04,0.07042253521126761,0.3103448275862069,1.054054054054054,4.066666666666666,3.75,0.26666666666666666,3
Doxorubicin,1,1.9230769230769231,0.13432835820895522,0.26666666666666666,1.1714285714285715,4.066666666666666,3.75,0.288135593220339,2.8
Entinostat,0,1.4444444444444444,0.24528301886792453,0.5348837209302325,2.142857142857143,15.5,21,2.473684210526316,21
Entinostat,0.26,1.1290322580645162,0.1,0.5348837209302325,0.7368421052631579,15.5,21,2.6666666666666665,21
Entinostat,0.5,1.1290322580645162,0.047619047619047616,0.6923076923076923,1.2,15.5,21,2.142857142857143,21
Entinostat,0.85,1.2758620689655173,0.17857142857142858,0.5348837209302325,0.6923076923076923,12.2,32,1.2,21
Entinostat,1,1.4444444444444444,0.13793103448275862,0.5714285714285714,0.7837837837837838,15.5,15.5,1,21
Everolimus,0,0.35,0,0.5,0.125,2.375,2,5.75,12.5
Everolimus,0.26,0.35,0.038461538461538464,0.5,0.125,2.375,1.7,8,12.5
Everolimus,0.5,0.42105263157894735,0.038461538461538464,0.6875,0.5,2.375,1.7,5.75,12.5
Everolimus,0.85,0.5882352941176471,0.08,0.42105263157894735,0.42105263157894735,2,2,1.7,8
Everolimus,1,0.5882352941176471,0.125,0.5882352941176471,0.42105263157894735,2.857142857142857,1.25,2.375,12.5
Flufenamic acid,0,1.5,0.25,1.5,4,4,1.5,1.5,4
Flufenamic acid,0.26,1.5,0.25,1.5,1.5,4,1.5,1.5,4
Flufenamic acid,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,0.6666666666666666,1.5,1.5,4
Flufenamic acid,0.85,0.6666666666666666,0.25,0.6666666666666666,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5
Flufenamic acid,1,0.25,0.25,1.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5
Flutamide,0,0,0.3333333333333333,1,0.5,2,1.4,11,2
Flutamide,0.26,0,0.2,1,0.7142857142857143,2,1.4,Inf,2
Flutamide,0.5,0,0.3333333333333333,1,0.7142857142857143,2,2,11,2
Flutamide,0.85,0,0.3333333333333333,1,0.7142857142857143,2,3,2,11
Flutamide,1,0,0.3333333333333333,0.7142857142857143,1.4,3,3,1.4,2
Foretinib,0,0.3157894736842105,0.19047619047619047,0.47058823529411764,0.5625,1.7777777777777777,2.125,1.7777777777777777,4
Foretinib,0.26,0.25,0.19047619047619047,0.6666666666666666,0.6666666666666666,1.7777777777777777,2.125,1.7777777777777777,4
Foretinib,0.5,0.19047619047619047,0.13636363636363635,1.0833333333333333,0.7857142857142857,2.125,1.7777777777777777,1.2727272727272727,4
Foretinib,0.85,0.3157894736842105,0.19047619047619047,0.7857142857142857,0.5625,2.5714285714285716,2.5714285714285716,0.5625,4
Foretinib,1,0.3157894736842105,0.19047619047619047,0.47058823529411764,0.5625,2.5714285714285716,2.5714285714285716,0.9230769230769231,3.1666666666666665
Gefitinib,0,0.8125,0.8125,0.45,1.4166666666666667,1.9,2.625,0.7058823529411765,1.6363636363636365
Gefitinib,0.26,0.7058823529411765,1.0714285714285714,0.45,1.4166666666666667,1.9,2.625,1.0714285714285714,1.6363636363636365
Gefitinib,0.5,0.7058823529411765,1.2307692307692308,0.5263157894736842,1.0714285714285714,1.6363636363636365,2.2222222222222223,0.9333333333333333,1.9
Gefitinib,0.85,0.5263157894736842,0.9333333333333333,0.8125,1.0714285714285714,1.6363636363636365,2.2222222222222223,1.0714285714285714,1.4166666666666667
Gefitinib,1,0.6111111111111112,1.0714285714285714,0.9333333333333333,1.0714285714285714,1.6363636363636365,2.2222222222222223,1.0714285714285714,1.6363636363636365
Gemcitabine,0,3.1,0.025,1.2777777777777777,0.36666666666666664,7.2,5.833333333333333,0.20588235294117646,5.833333333333333
Gemcitabine,0.26,2.1538461538461537,0.025,1.1578947368421053,0.5185185185185185,7.2,4.857142857142857,0.20588235294117646,5.833333333333333
Gemcitabine,0.5,1.9285714285714286,0.05128205128205128,1.9285714285714286,1.7333333333333334,7.2,5.833333333333333,0.20588235294117646,7.2
Gemcitabine,0.85,1.9285714285714286,0.05128205128205128,0.9523809523809523,1.5625,5.833333333333333,9.25,0.17142857142857143,12.666666666666666
Gemcitabine,1,1.7333333333333334,0.05128205128205128,0.782608695652174,1.411764705882353,7.2,12.666666666666666,0.24242424242424243,12.666666666666666
Genistein,0,1.4375,0.56,0.56,1.1666666666666667,0.95,1.1666666666666667,1.6,0.95
Genistein,0.26,1.0526315789473684,0.8571428571428571,0.5,1.7857142857142858,0.8571428571428571,1.0526315789473684,1.7857142857142858,1.0526315789473684
Genistein,0.5,0.7727272727272727,0.95,1.4375,1.0526315789473684,1.1666666666666667,1.0526315789473684,1.7857142857142858,1.1666666666666667
Genistein,0.85,0.95,0.5,1.1666666666666667,0.6956521739130435,1.0526315789473684,2,1.0526315789473684,1.1666666666666667
Genistein,1,1.0526315789473684,0.56,0.95,0.8571428571428571,1.2941176470588236,2,0.7727272727272727,1.0526315789473684
GF-109203,0,0.45454545454545453,1.2857142857142858,1.6666666666666667,0.14285714285714285,0.3333333333333333,0.23076923076923078,0.45454545454545453,0.23076923076923078
GF-109203,0.26,0.45454545454545453,1.6666666666666667,1,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.23076923076923078
GF-109203,0.5,1,1.2857142857142858,1,1,0.45454545454545453,0.23076923076923078,0.3333333333333333,0.23076923076923078
GF-109203,0.85,0.7777777777777778,1,0.6,1,1,0.45454545454545453,0.45454545454545453,0.45454545454545453
GF-109203,1,0.6,1.2857142857142858,0.7777777777777778,1,1,1,0.45454545454545453,0.3333333333333333
GSK 1059615,0,0.38461538461538464,0.125,0.3584905660377358,0.5652173913043478,6.2,5,11,7
GSK 1059615,0.26,0.3090909090909091,0.125,0.5,0.5652173913043478,6.2,4.538461538461538,11,8
GSK 1059615,0.5,0.38461538461538464,0.125,0.6363636363636364,1.5714285714285714,5,3.8,11,8
GSK 1059615,0.85,0.4117647058823529,0.2413793103448276,1.0571428571428572,1.25,2.6,3,5,6.2
GSK 1059615,1,0.5319148936170213,0.2857142857142857,0.8461538461538461,1.25,2.789473684210526,3.8,5,8
GSK J4,0,0.25,0.42857142857142855,2.3333333333333335,1,9,Inf,Inf,Inf
GSK J4,0.26,0.6666666666666666,0.42857142857142855,1.5,2.3333333333333335,Inf,Inf,Inf,Inf
GSK J4,0.5,0.42857142857142855,0.6666666666666666,2.3333333333333335,9,4,Inf,9,Inf
GSK J4,0.85,0.6666666666666666,0.42857142857142855,1,2.3333333333333335,2.3333333333333335,9,2.3333333333333335,Inf
GSK J4,1,1,0.6666666666666666,1.5,2.3333333333333335,4,Inf,1.5,Inf
GSK-1070916,0,1.3529411764705883,0.1111111111111111,0.48148148148148145,0.5384615384615384,2.6363636363636362,2.6363636363636362,7,2.6363636363636362
GSK-1070916,0.26,1.105263157894737,0.25,0.48148148148148145,0.3333333333333333,2.3333333333333335,2.6363636363636362,5.666666666666667,2.6363636363636362
GSK-1070916,0.5,1.105263157894737,0.2903225806451613,1,0.6,2.3333333333333335,2.3333333333333335,3.4444444444444446,2.6363636363636362
GSK-1070916,0.85,1.105263157894737,0.2903225806451613,1,0.5384615384615384,2.6363636363636362,2.6363636363636362,2.076923076923077,2.6363636363636362
GSK-1070916,1,1.105263157894737,0.2903225806451613,0.8181818181818182,0.5384615384615384,2.3333333333333335,2.6363636363636362,2.076923076923077,2.6363636363636362
GSK-3 Inhibitor IX,0,1.1666666666666667,5.5,1.8888888888888888,0.5294117647058824,1.3636363636363635,1,7.666666666666667,1.6
GSK-3 Inhibitor IX,0.26,0.625,5.5,2.25,1,1.6,1,25,2.25
GSK-3 Inhibitor IX,0.5,1.8888888888888888,5.5,1.3636363636363635,0.5294117647058824,1.8888888888888888,1.6,Inf,2.25
GSK-3 Inhibitor IX,0.85,1.3636363636363635,5.5,1,0.5294117647058824,5.5,2.7142857142857144,25,2.25
GSK-3 Inhibitor IX,1,1.3636363636363635,12,0.8571428571428571,0.625,3.3333333333333335,4.2,25,4.2
GSK-461364,0,0.375,0.65,1.3571428571428572,0.32,1.0625,0.7368421052631579,2.3,0.9411764705882353
GSK-461364,0.26,0.32,1.5384615384615385,0.5714285714285714,0.5714285714285714,1.0625,0.7368421052631579,2,0.9411764705882353
GSK-461364,0.5,0.43478260869565216,2.6666666666666665,0.375,0.5,0.9411764705882353,0.7368421052631579,2,0.9411764705882353
GSK-461364,0.85,0.32,3.125,0.375,0.43478260869565216,0.8333333333333334,0.65,10,0.7368421052631579
GSK-461364,1,0.43478260869565216,2.3,0.5,0.65,0.7368421052631579,0.65,4.5,0.5
