perturbagen,threshold,sd_m,sd_c,sd_n1,sd_a2,sd_a3,sd_ap,sd_a4,sd_c5
AC1OCDAW,1,0.01477664206516286,0.053675046250916125,0.1231031019531201,0.30154752744543784,0.116629370762261,0.08407276955047172,0.1365508734846191,0.1869349655488558
AKT Inhibitor VIII,0,0.03197650886627629,0.04556213746075405,0.03593932850349413,0.05041696464014886,0.08586446745720053,0.0838360386163384,0.039210323982411456,0.08474006611194213
AKT Inhibitor VIII,0.26,0.033847730464091876,0.05663753376093549,0.06878491515876164,0.07694590799037426,0.09906031535942156,0.09715339674610547,0.04846395705297534,0.09941235510406456
AKT Inhibitor VIII,0.5,0.03655653029705577,0.0663917083056623,0.12860126413535097,0.15896253572815994,0.11568185637084633,0.10996117389925052,0.060278573492791046,0.12036695960798882
AKT Inhibitor VIII,0.85,0.04045455553235002,0.08097101803250435,0.22445043241742485,0.22293130166918454,0.1306975329481272,0.12268535698522175,0.08926072861726388,0.1463648793402133
AKT Inhibitor VIII,1,0.04357402370806203,0.09660796644037159,0.25740385918340264,0.23840076376938615,0.1373700389935207,0.13864726220101722,0.10013033995004438,0.15107369997298503
Alpelisib,0,0.01817248135305025,0.04385925323124592,0.06969521288067855,0.06032463421560464,0.07876450310621581,0.07137343366957413,0.047161143696507236,0.08595837113161174
Alpelisib,0.26,0.020278704617671332,0.05285268375728976,0.11843510394586006,0.10557567863205165,0.08994141772814152,0.08226760960411693,0.05697149417045052,0.0984929424269789
Alpelisib,0.5,0.022432979996092277,0.061740588899482245,0.16635829389283593,0.17969882973933315,0.09689581738775568,0.08795780891414569,0.06354620610968724,0.11536838340796415
Alpelisib,0.85,0.02988494582870605,0.06306432464472847,0.25990085910977834,0.23498810888971627,0.08973581048168804,0.09323361044670121,0.08396336954906479,0.12993647910624254
Alpelisib,1,0.030505231777926634,0.06851214829261776,0.29013702385915613,0.2553231405881448,0.1229094722271013,0.09820028223601125,0.09260064278406907,0.13186139795465784
Alvocidib,0,0.038296091884946905,0.036316334063742385,0.033434651316866584,0.0292707879690074,0.06521300651270856,0.06076177244251687,0.07787578409985713,0.09558522561914609
Alvocidib,0.26,0.03694907583528135,0.0445534200164207,0.05851911800911986,0.05813849871819113,0.0775575977647752,0.07071257161328785,0.09067970053708542,0.11197032248207808
Alvocidib,0.5,0.03513932317174741,0.05623344207538677,0.09894919821187183,0.12381421453281047,0.09381648275552489,0.08109040484046931,0.10375510420667894,0.12643701397222107
