perturbagen,threshold,pos_m,neg_m,min_m,max_m,mean_m,sd_m,pos_c,neg_c,min_c,max_c,mean_c,sd_c,pos_n1,neg_n1,min_n1,max_n1,mean_n1,sd_n1,pos_a2,neg_a2,min_a2,max_a2,mean_a2,sd_a2,pos_a3,neg_a3,min_a3,max_a3,mean_a3,sd_a3,pos_ap,neg_ap,min_ap,max_ap,mean_ap,sd_ap,pos_a4,neg_a4,min_a4,max_a4,mean_a4,sd_a4,pos_c5,neg_c5,min_c5,max_c5,mean_c5,sd_c5,m_ratio,c_ratio,n1_ratio,a2_ratio,a3_ratio,ap_ratio,a4_ratio,c5_ratio
AC1MJ3VH,0,22,11,-0.10972281039836383,0.08430847964323251,0.0076770386842954065,0.04379698954870045,8,25,-0.11948656620833893,0.03700378794554322,-0.03765308284482911,0.04477588562633726,15,18,-0.09868602066678618,0.0690538860864487,-7.620431502869739e-5,0.041778776431519664,6,27,-0.15383009528650396,0.036516521914631964,-0.05823847889476525,0.0489107464266251,25,8,-0.07609912298420483,0.1991790927365034,0.06579393741595295,0.08183236317528936,22,11,-0.08564167750924971,0.15477266553176783,0.0410355282824763,0.07217114009946034,8,25,-0.22652216164407263,0.06667628369869275,-0.05769481669696247,0.08370699296291939,20,13,-0.2036936334604323,0.2634858028438256,0.04488908897045648,0.13047963888191805,2,0.32,0.8333333333333334,0.2222222222222222,3.125,2,0.32,1.5384615384615385
AC1MJ3VH,0.26,23,10,-0.11036857950942003,0.08126939464321606,0.004551718083172326,0.04272773329383673,5,28,-0.15717112223470045,0.03361436152990743,-0.0592629212194747,0.05297055756492456,13,20,-0.21578328797374927,0.10659197312527555,-0.013889115512381795,0.0761521269135792,3,30,-0.28366154205080635,0.07380810950665476,-0.09079052596781438,0.08268337616655719,25,8,-0.10319233604681109,0.2313405974541598,0.07873164786759981,0.0958435241530992,22,11,-0.09638920028460814,0.1751182772582419,0.04776028011076468,0.08322029650241865,8,25,-0.25756954245658303,0.06848684602501597,-0.06700261969677282,0.09696424947915494,20,13,-0.23635593755547105,0.29325234213167156,0.05001701739455124,0.14908846775412835,2.3,0.17857142857142858,0.65,0.1,3.125,2,0.32,1.5384615384615385
AC1MJ3VH,0.5,20,13,-0.11522002545863033,0.082307470363806,0.002083126290036833,0.04171373473454014,3,30,-0.18085617910257917,0.029025620739824544,-0.07905261001357862,0.0567480286241208,13,20,-0.2843476173889534,0.24314037696957777,-0.016834949508070934,0.11696059561554795,15,18,-0.4365743441849383,0.4908357649722214,-0.01659027862654853,0.1593094674857536,25,8,-0.1339936687423047,0.25315147039176206,0.09482435439641017,0.11038966248859099,24,9,-0.10853896285964475,0.19902939080614662,0.05857685362774091,0.0950213717207121,13,20,-0.30539982831027235,0.07911630579253727,-0.07094366986458828,0.11224689192208992,20,13,-0.2610576377953106,0.33292184778877465,0.061502510055250544,0.17252730612672032,1.5384615384615385,0.1,0.65,0.8333333333333334,3.125,2.6666666666666665,0.65,1.5384615384615385
AC1MJ3VH,0.85,18,15,-0.12388522295635918,0.07312584295338155,0.001002877819555792,0.041755795351379826,4,29,-0.21956544443551068,0.010185766151620035,-0.0883325613789882,0.07024367312255547,5,28,-0.37849898879404303,0.36885570508318277,-0.09495409587523235,0.17169032317186533,13,20,-0.5561526301077336,0.44773743990483267,-0.05604416350285163,0.1943678841552389,26,7,-0.11787066115030012,0.2971852707797774,0.12414166801085628,0.11744617112788933,25,8,-0.12425196890774597,0.24941910694567757,0.08492215408782275,0.10752385073624951,13,20,-0.3607437609508482,0.15865703720320284,-0.08655839964255801,0.1427195500646229,20,13,-0.2433743230829146,0.38642499376833833,0.10588760494818626,0.1908546283812856,1.2,0.13793103448275862,0.17857142857142858,0.65,3.7142857142857144,3.125,0.65,1.5384615384615385
AC1MJ3VH,1,20,13,-0.13088889794886782,0.08079240922332515,7.174963032114626e-4,0.04388722754851693,5,28,-0.2351358477734034,0.025601626202841336,-0.08017031094584932,0.0719134895145131,8,25,-0.3766760145900704,0.5167515207426798,-0.08170474925446819,0.20299253899284161,11,22,-0.5787431154928597,0.4051443554645568,-0.07827177932950923,0.20060425891215888,26,7,-0.1396154184152118,0.31929845271969565,0.1428627913877508,0.12343181944491173,26,7,-0.1268512348822365,0.2705658408249411,0.0998517029476707,0.11110623038069514,14,19,-0.34247800500376985,0.21393371595690905,-0.0652406128923476,0.14697288146874843,20,13,-0.2891874309558076,0.4123642576110273,0.11757911089521456,0.2023055515229073,1.5384615384615385,0.17857142857142858,0.32,0.5,3.7142857142857144,3.7142857142857144,0.7368421052631579,1.5384615384615385
AC1NWAML,0,5,7,-0.12219841656192644,0.06589654546390224,-0.017293984901777946,0.05594708480151904,11,1,-0.026532154369486628,0.09112754155535059,0.03700794253102793,0.033610020920707424,10,2,-0.03132852118323517,0.06877463865865072,0.028486376835507685,0.02756407224920465,2,10,-0.16450126342004365,0.04898879132172531,-0.05561341836312829,0.056070517734848974,4,8,-0.14122398649295473,0.09795933322798943,-0.029949913158533598,0.06661863738639379,3,9,-0.17489316451574607,0.06856422341880022,-0.04330854041862351,0.06739788012191965,7,5,-0.04449540710662375,0.036825676431642806,2.7493353378878123e-4,0.02604182399918373,9,3,-0.09353600358909965,0.13924942794903958,0.018714985906721507,0.06246549724082087,0.7142857142857143,11,5,0.2,0.5,0.3333333333333333,1.4,3
AC1NWAML,0.26,4,8,-0.1220662016037746,0.07759159696184427,-0.01757197485408534,0.05572167619449974,11,1,-0.0182963176966045,0.10931858153300957,0.0524170754212398,0.03605402919645915,10,2,-0.03338980467932633,0.1282191578837731,0.04248641048651566,0.04627000710142013,3,9,-0.2141692244863913,0.075270501583429,-0.058003836994106585,0.0872749100159968,4,8,-0.17788848838483912,0.12188062282842646,-0.03138604929440274,0.08194517376739313,3,9,-0.20212305616407036,0.08282332738544575,-0.044509809736000175,0.07799058719287137,8,4,-0.0496925446651064,0.04391367968425697,0.003231884874241109,0.029927467823706533,9,3,-0.10787787179840265,0.16227843984620602,0.027187830523179846,0.07168526511679099,0.5,11,5,0.3333333333333333,0.5,0.3333333333333333,2,3
AC1NWAML,0.5,4,8,-0.13310582503056004,0.07921494129491215,-0.017666082514456293,0.05815589395546808,11,1,-0.03144515769846875,0.11410486642991151,0.05327539556796432,0.039297043485119074,10,2,-0.024527490133157477,0.1982832758293753,0.056704853834297846,0.0629794392771611,6,6,-0.4615960074442569,0.200327666050976,-0.013686148233029358,0.1838425672140929,5,7,-0.2135958685717758,0.15410347711358763,-0.02593413531096636,0.1018781804754035,5,7,-0.24041418727276218,0.10570788267646417,-0.04504791787402168,0.09416393396461022,9,3,-0.05938457266566992,0.05814012294504214,0.00982316463370016,0.03505042302099373,9,3,-0.11974162628821916,0.20729439743316508,0.043451369968459386,0.08843057164743132,0.5,11,5,1,0.7142857142857143,0.7142857142857143,3,3
AC1NWAML,0.85,3,9,-0.14526848349717214,0.06504109136023545,-0.02122035632995539,0.058034697802683825,9,3,-0.07144478941703165,0.13793046382048915,0.04444795612437801,0.06815751958858683,8,4,-0.1178549060165521,0.35924343246812246,0.12671568217894066,0.17208836114019851,7,5,-0.48703982734668644,0.40824839798489965,-0.03821584812396315,0.2869414443434206,7,5,-0.22715976024373813,0.2173749799836462,-0.004358731416022329,0.1316963720307536,5,7,-0.26764058516056266,0.161513376355582,-0.029826410503519207,0.11902390483479706,9,3,-0.07352623489154789,0.10800194314317037,0.022587981328341767,0.05032217331553581,8,4,-0.1740499113192027,0.20474881665383182,0.05960511649569605,0.10912474298977251,0.3333333333333333,3,2,1.4,1.4,0.7142857142857143,3,2
AC1NWAML,1,5,7,-0.1444843496638309,0.07112466573462388,-0.014548015511042752,0.06069471384739171,9,3,-0.08231561409242451,0.14506404872547068,0.04894551296573434,0.07150487700256673,9,3,-0.23474730454113413,0.4340638973470573,0.15121617444844648,0.20483645211612736,7,5,-0.5296025607716527,0.4546876109106666,-0.05977639488511487,0.33467294127554725,7,5,-0.23347726679000608,0.22231033016328403,-0.012036630901291747,0.13945136153625082,7,5,-0.284368412626388,0.16241693325771225,-0.027968660752873215,0.13104478700803507,7,5,-0.09081880588767313,0.09056707238968867,0.013525574677402882,0.05646170645654622,8,4,-0.2011572561787827,0.20996149085841675,0.05267551081469804,0.12049961706964123,0.7142857142857143,3,3,1.4,1.4,1.4,1.4,2
